method,seed_index,slot,average_delay,cumulative_average_delay,average_fidelity,solver_time,throughput,sync_triggers
baseline,1,40,154.366017,205.680866,0.718299,0.0,14.0,9.0
baseline,2,1,190.851266,190.851266,0.577851,0.0,19.0,6.0
baseline,2,2,235.218279,213.034773,0.624799,0.0,10.0,10.0
baseline,2,3,197.602889,207.890811,0.684713,0.0,18.0,8.0
baseline,2,4,176.644869,200.079326,0.675204,0.0,15.0,9.0
baseline,2,5,216.363371,203.336135,0.678362,0.0,15.0,9.0
baseline,2,6,181.292771,199.662241,0.702352,0.0,13.0,10.0
baseline,2,7,212.750706,201.532022,0.700836,0.0,15.0,9.0
baseline,2,8,178.008512,198.591583,0.698767,0.0,16.0,8.0
baseline,2,9,197.980556,198.523691,0.67621,0.0,14.0,8.0
baseline,2,10,140.714827,192.742805,0.711654,0.0,14.0,10.0
baseline,2,11,250.515298,197.994849,0.707959,0.0,15.0,9.0
baseline,2,12,169.289121,195.602705,0.690682,0.0,15.0,8.0
baseline,2,13,228.984365,198.170525,0.690232,0.0,14.0,9.0
baseline,2,14,194.411046,197.901991,0.699553,0.0,15.0,10.0
baseline,2,15,217.711983,199.222657,0.691928,0.0,12.0,9.0
baseline,2,16,211.679797,200.001228,0.648848,0.0,14.0,9.0
baseline,2,17,216.129906,200.949974,0.67704,0.0,15.0,9.0
baseline,2,18,185.652936,200.100139,0.676244,0.0,14.0,10.0
baseline,2,19,235.514975,201.964078,0.684588,0.0,16.0,9.0
baseline,2,20,211.298256,202.430786,0.690138,0.0,15.0,9.0
baseline,2,21,217.175038,203.132894,0.664724,0.0,18.0,8.0
baseline,2,22,242.534083,204.923857,0.677082,0.0,13.0,9.0
baseline,2,23,170.536773,203.428766,0.672012,0.0,17.0,9.0
baseline,2,24,258.20632,205.711164,0.694492,0.0,12.0,9.0
baseline,2,25,265.300339,208.094731,0.675203,0.0,17.0,9.0
baseline,2,26,185.413917,207.222392,0.686229,0.0,18.0,10.0
baseline,2,27,251.75685,208.871817,0.665737,0.0,16.0,9.0
baseline,2,28,178.516541,207.7877,0.661461,0.0,15.0,9.0
baseline,2,29,168.061852,206.417843,0.672861,0.0,12.0,9.0
baseline,2,30,189.030396,205.838261,0.692899,0.0,15.0,10.0
baseline,2,31,225.449904,206.470895,0.691526,0.0,16.0,9.0
baseline,2,32,212.905957,206.671991,0.660221,0.0,16.0,9.0
baseline,2,33,207.974874,206.711472,0.664197,0.0,15.0,9.0
baseline,2,34,185.870606,206.098505,0.698178,0.0,12.0,10.0
baseline,2,35,267.784704,207.860968,0.69663,0.0,16.0,9.0
baseline,2,36,255.828331,209.193395,0.680724,0.0,14.0,8.0
baseline,2,37,172.567858,208.203515,0.668574,0.0,14.0,8.0
baseline,2,38,155.125922,206.806737,0.672933,0.0,12.0,10.0
baseline,2,39,161.214348,205.637701,0.685928,0.0,16.0,9.0
baseline,2,40,237.8181,206.442211,0.689727,0.0,16.0,9.0
